Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?node=SEARCHRESULTS&q=EXR.D.E5.PLN.EN00.A
,EXR.D.E5.PLN.EN00.A
,"ECB Nominal effective exch. rate of the Polish zloty against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Polish zloty"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2019-07-15,98.0824
2019-07-12,97.9475
2019-07-11,97.9740
2019-07-10,97.8012
2019-07-09,98.0290
2019-07-08,98.2101
2019-07-05,98.4266
2019-07-04,98.4621
2019-07-03,98.5184
2019-07-02,98.5351
2019-07-01,98.5833
2019-06-28,98.4872
2019-06-27,98.4195
2019-06-26,98.1620
2019-06-25,98.3538
2019-06-24,98.4247
2019-06-21,98.2243
2019-06-20,98.2361
2019-06-19,97.9413
2019-06-18,98.1252
2019-06-17,98.1724
2019-06-14,98.3505
2019-06-13,98.3112
2019-06-12,98.2804
2019-06-11,98.1210
2019-06-10,98.2032
2019-06-07,97.9291
2019-06-06,97.7228
2019-06-05,97.7237
2019-06-04,97.6922
2019-06-03,97.5354
2019-05-31,97.5061
2019-05-30,97.3608
2019-05-29,97.1862
2019-05-28,97.3514
2019-05-27,97.3709
2019-05-24,97.2708
2019-05-23,97.0202
2019-05-22,97.1278
2019-05-21,97.0379
2019-05-20,97.2495
2019-05-17,97.1178
2019-05-16,97.2385
2019-05-15,96.8808
2019-05-14,97.0241
2019-05-13,97.0695
2019-05-10,97.1589
2019-05-09,97.1474
2019-05-08,97.1428
2019-05-07,97.1772
2019-05-06,97.2511
2019-05-03,97.1044
2019-05-02,97.3135
2019-05-01,-
2019-04-30,97.1706
2019-04-29,96.8718
2019-04-26,96.9881
2019-04-25,96.8553
2019-04-24,97.0330
2019-04-23,97.1588
2019-04-22,-
2019-04-19,-
2019-04-18,97.2811
2019-04-17,97.4561
2019-04-16,97.4523
2019-04-15,97.4463
2019-04-12,97.3502
2019-04-11,97.1669
2019-04-10,97.1664
2019-04-09,97.0889
2019-04-08,97.0113
2019-04-05,96.9307
2019-04-04,96.8724
2019-04-03,96.8210
2019-04-02,96.7757
2019-04-01,96.7050
2019-03-29,96.6760
2019-03-28,96.8154
2019-03-27,96.8566
2019-03-26,96.8730
2019-03-25,96.9093
2019-03-22,96.9790
2019-03-21,97.3541
2019-03-20,97.2374
2019-03-19,97.1119
2019-03-18,96.8995
2019-03-15,96.6869
2019-03-14,96.7238
2019-03-13,96.8445
2019-03-12,96.8152
2019-03-11,96.7975
2019-03-08,96.7382
2019-03-07,96.7945
2019-03-06,96.8395
2019-03-05,96.8536
2019-03-04,96.8849
2019-03-01,96.7198
2019-02-28,96.7160
2019-02-27,96.5322
2019-02-26,96.2801
2019-02-25,96.1277
2019-02-22,96.1491
2019-02-21,96.2150
2019-02-20,95.9715
2019-02-19,96.2147
2019-02-18,96.3777
2019-02-15,96.2644
2019-02-14,96.1483
2019-02-13,96.3543
2019-02-12,96.4408
2019-02-11,96.7139
2019-02-08,96.9006
2019-02-07,97.0044
2019-02-06,97.2937
2019-02-05,97.4142
2019-02-04,97.5991
2019-02-01,97.7788
2019-01-31,97.7305
2019-01-30,97.2987
2019-01-29,97.0917
2019-01-28,97.3651
2019-01-25,97.1314
2019-01-24,97.2733
2019-01-23,97.2946
2019-01-22,97.4685
2019-01-21,97.2895
2019-01-18,97.2468
2019-01-17,97.4604
2019-01-16,97.3521
2019-01-15,97.3203
2019-01-14,97.4113
2019-01-11,97.4530
2019-01-10,97.5315
2019-01-09,97.4217
2019-01-08,97.2254
2019-01-07,97.5381
2019-01-04,97.4321
2019-01-03,97.3600
2019-01-02,97.4445
2019-01-01,-
2018-12-31,97.4065
2018-12-28,97.4526
2018-12-27,97.5214
2018-12-26,-
2018-12-25,-
2018-12-24,97.8703
2018-12-21,97.8624
2018-12-20,97.8336
2018-12-19,97.9148
2018-12-18,97.7569
2018-12-17,97.7491
2018-12-14,97.3438
2018-12-13,97.5737
2018-12-12,97.4498
2018-12-11,97.4981
2018-12-10,97.7405
2018-12-07,97.5826
2018-12-06,97.5853
2018-12-05,97.6313
2018-12-04,97.7097
2018-12-03,97.7118
2018-11-30,97.6802
2018-11-29,97.6776
2018-11-28,97.3763
2018-11-27,97.5978
2018-11-26,97.5785
2018-11-23,97.5070
2018-11-22,97.4629
2018-11-21,97.5352
2018-11-20,97.1277
2018-11-19,96.8909
2018-11-16,97.0399
2018-11-15,97.4454
2018-11-14,97.4373
2018-11-13,97.1714
2018-11-12,97.2808
2018-11-09,97.5568
2018-11-08,97.5650
2018-11-07,97.6227
2018-11-06,97.1932
2018-11-05,97.0438
2018-11-02,96.8905
2018-11-01,96.8186
2018-10-31,96.5780
2018-10-30,96.8476
2018-10-29,97.0881
2018-10-26,97.0214
2018-10-25,97.2969
2018-10-24,97.3078
2018-10-23,97.6564
2018-10-22,97.8393
2018-10-19,97.4887
2018-10-18,97.6198
2018-10-17,97.7370
2018-10-16,97.8852
2018-10-15,97.8268
2018-10-12,97.8065
2018-10-11,97.3114
2018-10-10,97.3677
2018-10-09,97.1387
2018-10-08,97.3912
2018-10-05,97.4534
2018-10-04,97.4011
2018-10-03,97.7187
2018-10-02,97.8210
2018-10-01,98.1614
2018-09-28,98.1349
2018-09-27,98.3615
2018-09-26,98.3006
2018-09-25,98.1505
2018-09-24,97.9163
2018-09-21,97.9978
2018-09-20,98.0211
2018-09-19,97.8193
2018-09-18,97.7673
2018-09-17,97.8526
2018-09-14,97.6976
2018-09-13,97.4324
2018-09-12,97.4503
2018-09-11,97.4548
2018-09-10,97.2879
2018-09-07,97.5266
2018-09-06,97.3959
2018-09-05,97.2033
2018-09-04,97.6008
2018-09-03,97.8648
2018-08-31,98.0268
2018-08-30,98.1717
2018-08-29,98.2791
2018-08-28,98.5716
2018-08-27,98.4929
2018-08-24,98.2540
2018-08-23,98.2455
2018-08-22,98.1588
2018-08-21,97.3786
2018-08-20,97.3425
2018-08-17,97.1648
2018-08-16,97.0695
2018-08-15,96.6628
2018-08-14,97.3840
2018-08-13,97.4826
2018-08-10,97.6632
2018-08-09,98.2302
2018-08-08,98.5842
2018-08-07,98.7028
2018-08-06,98.1640
2018-08-03,98.4849
2018-08-02,98.0776
2018-08-01,98.3597
2018-07-31,98.3462
2018-07-30,98.2405
2018-07-27,97.8388
2018-07-26,98.1180
2018-07-25,97.7049
2018-07-24,97.4299
2018-07-23,97.4069
2018-07-20,97.3261
2018-07-19,97.0779
2018-07-18,97.3719
2018-07-17,97.6659
2018-07-16,97.6331
2018-07-13,97.1547
2018-07-12,96.9589
2018-07-11,97.1957
2018-07-10,97.0870
2018-07-09,97.1448
2018-07-06,96.1042
2018-07-05,96.2337
2018-07-04,95.6670
2018-07-03,95.4922
2018-07-02,95.5994
2018-06-29,95.9155
2018-06-28,95.9994
2018-06-27,96.5175
2018-06-26,96.4814
2018-06-25,96.5555
2018-06-22,96.8380
2018-06-21,96.4342
2018-06-20,96.6997
2018-06-19,96.6633
2018-06-18,97.2737
2018-06-15,97.3322
2018-06-14,97.7831
2018-06-13,97.6785
2018-06-12,97.7281
2018-06-11,97.9668
2018-06-08,97.5963
2018-06-07,98.1188
2018-06-06,97.6496
2018-06-05,97.1699
2018-06-04,97.3798
2018-06-01,96.6369
2018-05-31,96.8726
2018-05-30,96.6165
2018-05-29,96.5596
2018-05-28,96.7684
2018-05-25,96.7315
2018-05-24,96.9548
2018-05-23,96.8570
2018-05-22,97.4307
2018-05-21,96.8229
