,Wskaźnik cen konsumenta CPI (% r/r),    Ceny żywności (% r/r),    Ceny energii (% r/r),    Wskaźnik cen inflacji bazowej po wyłączeniu cen żywności i energii (% r/r),PKB (% r/r),    Popyt krajowy (% r/r),        Spożycie indywidualne (% r/r),        Spożycie zbiorowe (% r/r),        Nakłady inwestycyjne (% r/r),    Wkład eksportu netto (pkt. proc. r/r),        Eksport (% r/r),        Import (% r/r),Płace brutto (% r/r),Liczba pracujących (% r/r),Stopa bezrobocia (%),NAWRU (%),Stopa aktywności zawodowej (%),Wydajność pracy (% r/r),Jednostkowe koszty pracy (% r/r),Produkt potencjalny (% r/r),Luka popytowa (% PKB potencjalnego),"Indeks cen surowców rolnych (USD; 2010=1,00)","Indeks cen surowców energetycznych (USD; 2010=1,00)",Poziom cen za granicą (% r/r),PKB za granicą (% r/r),Saldo rachunku bieżącego i rachunku kapitałowego (% PKB),WIBOR 3M (%)
2018-02-27,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-02-28,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-01,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-02,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-05,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-06,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-07,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-08,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-09,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-12,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-13,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-14,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-15,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-16,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-19,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-20,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-21,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-22,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-23,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-26,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-27,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-28,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-29,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-03-30,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
2018-04-02,1.8,0.8,2.8,3.9,4.8,5.3,4.7,4.1,6.3,-0.5,4.9,5.9,6.8,0.7,3.6,4.7,56.3,4.0,2.7,3.0,1.3,0.86,0.78,1.7,2.0,0.6,1.7
